Country,Tests,Positive,Date,TestsMP,PositiveThT
Argentina,2847,589,43917,63,207
Armenia,1580,265,43915,535,168
Australia,207413,3637,43918,8166,18
Austria,42750,7697,43918,4802,180
Bahrain,30506,227,43917,19437,7.4
Belarus,24000,94,43917,2528,3.9
Belgium,18360,1486,43908,1594,81
Bolivia,191,15,43909,17,79
BosniaHer,1475,234,43917,428,159
Brazil,45708,428,43908,218,9.4
Canada,170644,4675,43917,4503,27
Chile,23105,1610,43917,1212,70
Colombia,8908,491,43917,185,55
CostaRica,3046,263,43917,609,86
Croatia,4938,635,43918,1211,129
Czechia,36374,2395,43918,3415,66
Denmark,22500,2366,43918,3795,105
Ecuador,5915,1627,43918,346,275
Estonia,9364,640,43918,7049,68
Finland,10000,626,43912,1808,63
France,101046,20068,43914,1508,199
Germany,483295,36508,43916,5812,76
Hungary,6817,226,43915,698,33
Iceland,14635,963,43918,40177,66
India,26798,691,43917,20,26
Indonesia,5884,1155,43918,22,196
Iran,80000,21638,43912,962,270
Ireland,17992,1329,43914,3778,74
Israel,37586,2463,43915,4097,66
Italy,394079,86498,43917,6533,219
Jamaica,250,30,43917,92,120
Japan,28464,1499,43918,226,53
Latvia,11702,280,43917,6095,24
Lithuania,6900,382,43918,2469,55
Malaysia,24168,2161,43917,737,89
Malta,4462,139,43917,9040,31
Mexico,2232,367,43914,18,164
Nepal,875,5,43918,31,5.7
Netherlands,46810,7705,43916,2686,165
NewZealand,12683,262,43916,2551,21
Norway,78036,3581,43917,14538,46
Pakistan,13231,1408,43918,62,106
Panama,4856,674,43917,1163,139
Peru,10065,635,43917,307,63
Philippines,1995,1075,43918,20,539
Poland,38674,1436,43918,1008,37
Portugal,25431,4268,43917,2475,168
Romania,19663,1452,43918,1013,74
Russia,243377,1264,43918,1659,5.2
Serbia,1715,528,43917,246,308
Singapore,39000,558,43915,6838,14
Slovakia,5664,269,43916,1039,47
Slovenia,18369,638,43916,8772,35
SouthAfrica,7425,240,43911,126,32
SouthKorea,387925,9478,43918,7502,24
Spain,355000,24926,43911,7596,70
Sweden,24500,2510,43915,2859,102
Switzerland,97012,12161,43917,11320,125
Taiwan,29389,283,43918,1236,9.6
Thailand,16531,1245,43918,238,75
TrinidadTob,453,66,43917,332,146
Turkey,47823,5698,43917,575,119
Ukraine,1712,311,43918,41,182
UnitedArabE,125000,140,43906,13022,1.1
UK,113777,14579,43917,1684,128
USA,626667,99447,43917,1909,159
Uruguay,1538,189,43914,443,123
Vietnam,35808,169,43918,369,4.7
